frame,x,y,confidence
52260,264,393,0.987710
52261,262,393,0.991279
52262,262,393,0.993368
52263,263,394,0.985304
52264,263,394,0.980435
52265,263,394,0.979655
52266,262,394,0.987952
52267,262,394,0.977772
52268,261,392,0.962190
52269,260,393,0.988745
52270,260,392,0.969110
52271,260,391,0.915950
52272,239,388,0.924077
52273,240,388,0.927020
52274,,,
52275,,,
52276,,,
52277,252,384,0.985771
52278,256,386,0.987659
52279,258,387,0.990304
52280,253,390,0.980040
52281,,,
52282,,,
52283,,,
52284,,,
52285,,,
52286,,,
52287,,,
52288,,,
52289,,,
52290,,,
52291,,,
52292,,,
52293,,,
52294,,,
52295,,,
52296,,,
52297,,,
52298,,,
52299,868,51,0.534855
52300,868,51,0.535769
52301,868,51,0.532878
52302,868,51,0.538460
52303,868,51,0.548595
52304,868,51,0.548032
52305,868,51,0.557921
52306,868,51,0.544450
52307,868,51,0.544197
52308,868,51,0.544287
52309,868,51,0.547570
52310,868,51,0.549739
52311,868,51,0.544661
52312,868,51,0.547499
52313,868,51,0.554143
52314,868,51,0.550126
52315,868,51,0.671472
52316,868,51,0.686047
52317,868,51,0.670321
52318,868,50,0.599739
52319,868,50,0.580396
52320,868,50,0.581401
52321,868,50,0.588747
52322,868,50,0.577312
52323,868,51,0.617815
52324,868,51,0.617254
52325,868,50,0.596414
52326,868,50,0.599149
52327,868,50,0.604473
52328,868,50,0.575575
52329,868,50,0.567945
52330,868,50,0.567471
52331,868,50,0.572046
52332,868,50,0.571061
52333,868,50,0.548837
52334,868,50,0.566589
52335,868,50,0.555999
52336,868,50,0.556436
52337,868,50,0.559683
52338,868,50,0.552193
52339,868,50,0.564163
52340,868,50,0.546278
52341,868,50,0.544349
52342,868,50,0.542006
52343,868,50,0.553474
52344,868,50,0.564219
52345,868,50,0.564775
52346,868,50,0.553246
52347,868,50,0.549921
52348,868,50,0.544053
52349,868,50,0.549643
52350,868,50,0.548226
52351,868,50,0.556111
52352,868,50,0.566683
52353,868,50,0.572814
52354,868,50,0.576439
52355,868,50,0.550239
52356,868,50,0.554606
52357,868,50,0.555232
52358,868,50,0.554094
52359,868,50,0.564176
52360,868,50,0.565825
52361,868,50,0.566324
52362,868,50,0.569123
52363,868,50,0.572482
52364,868,50,0.569883
52365,868,50,0.589068
52366,868,50,0.591875
52367,868,50,0.613415
52368,868,50,0.616507
52369,868,50,0.615420
52370,868,50,0.619875
52371,868,50,0.611965
52372,868,50,0.612849
52373,868,50,0.615139
52374,868,51,0.626332
52375,868,51,0.613533
52376,868,50,0.516887
52377,868,50,0.467695
52378,868,50,0.510005
52379,868,50,0.545430
52380,868,50,0.505663
52381,868,50,0.483538
52382,868,50,0.510201
52383,868,51,0.575457
52384,868,51,0.517732
52385,868,51,0.504214
52386,868,51,0.499745
52387,868,51,0.538803
52388,868,51,0.491019
52389,868,51,0.506320
52390,868,51,0.485456
52391,868,51,0.491172
52392,868,51,0.499138
52393,868,51,0.505459
52394,868,51,0.503638
52395,868,51,0.540458
52396,868,51,0.547518
52397,868,51,0.552198
52398,868,51,0.581205
52399,868,51,0.596284
52400,868,51,0.591888
52401,868,51,0.591579
52402,868,51,0.600517
52403,868,51,0.602287
52404,868,51,0.603926
52405,868,51,0.605636
52406,868,51,0.603853
52407,868,51,0.612190
52408,868,51,0.624243
52409,868,51,0.621261
52410,868,51,0.644284
52411,868,51,0.645806
52412,868,51,0.616112
52413,868,51,0.621612
52414,868,51,0.622719
52415,868,51,0.625584
52416,868,51,0.619079
52417,868,51,0.586446
52418,868,51,0.585663
52419,868,51,0.590051
52420,868,51,0.596956
52421,868,51,0.615147
52422,868,51,0.603297
52423,868,51,0.617877
52424,868,51,0.613404
52425,868,51,0.604856
52426,868,51,0.605621
52427,868,51,0.623217
52428,868,51,0.626199
52429,868,51,0.613160
52430,868,51,0.612146
52431,868,51,0.621099
52432,868,51,0.621042
52433,868,51,0.652100
52434,868,51,0.650681
52435,868,51,0.634973
52436,868,51,0.634060
52437,868,51,0.634434
52438,868,52,0.628645
52439,868,52,0.581317
52440,868,51,0.505356
52441,868,52,0.509426
52442,868,52,0.510211
52443,868,52,0.488597
52444,867,52,0.503805
52445,867,52,0.518150
52446,867,52,0.518750
52447,867,52,0.525073
52448,867,52,0.533997
52449,867,52,0.506445
52450,867,52,0.506438
52451,867,52,0.499194
52452,867,52,0.499585
52453,867,52,0.498070
52454,867,52,0.495654
52455,867,52,0.493480
52456,867,52,0.490386
52457,867,52,0.464704
52458,867,52,0.464142
52459,867,52,0.463107
52460,867,52,0.458399
52461,867,52,0.458347
52462,867,52,0.468310
52463,867,52,0.469839
52464,867,52,0.469679
52465,867,52,0.468214
52466,867,52,0.473980
52467,868,52,0.486163
52468,868,52,0.493655
52469,868,52,0.450954
52470,868,52,0.442145
52471,867,51,0.429634
52472,867,51,0.430860
52473,868,51,0.436336
52474,868,51,0.450247
52475,867,51,0.491736
