rally_id,start_timestamp,end_timestamp,duration,rally_duration,attacker,type_of_point,winner_team,net_crossings,ball_speed_mean,ball_speed_max
1,2338.233333333333,2347.0,8.766666666666879,8.766666666666879,CampoB,ATTACK,TeamB,1,15.7461415737094,85.14693182963201
2,2362.866666666667,2374.5,11.633333333333212,11.633333333333212,CampoA,ATTACK,TeamA,2,12.552164012073609,85.47514258543241
3,2376.6,2399.0,22.40000000000009,22.40000000000009,CampoB,ATTACK,TeamB,2,12.14308318731728,254.86663179004034
4,2399.0333333333333,2416.0,16.966666666666697,16.966666666666697,CampoB,BALL_OUT,TeamA,0,45.88442703693445,310.9035220128585
5,2419.1,2451.0,31.90000000000009,31.90000000000009,CampoA,ATTACK,TeamA,5,13.08293068465517,155.32224567009067
6,2457.0,2486.5,29.5,29.5,CampoA,BALL_ON_NET,TeamB,0,21.80930005613465,256.2225595063791
7,2486.6666666666665,2511.0,24.333333333333485,24.333333333333485,CampoB,BALL_OUT,TeamA,2,15.730686441505274,425.6257980902943
8,2511.0666666666666,2534.5,23.433333333333394,23.433333333333394,CampoB,ATTACK,TeamB,3,16.708316015740735,506.47803506173886
9,2535.8333333333335,2569.0,33.166666666666515,33.166666666666515,CampoB,BLOCK,TeamA,1,10.876123140892512,288.1110896859057
10,2584.6,2592.5,7.900000000000091,7.900000000000091,CampoB,ATTACK,TeamB,1,10.33940297176122,37.36308338453881
11,2608.6,2613.0,4.400000000000091,4.400000000000091,CampoB,BALL_ON_NET,TeamA,0,10.338791285776148,77.20103626247513
12,2627.6,2638.0,10.400000000000091,10.400000000000091,CampoB,ATTACK,TeamB,1,14.305241015460195,430.78532936951325
13,2653.4333333333334,2658.5,5.066666666666606,5.066666666666606,CampoB,BALL_OUT,TeamA,0,21.529967928268825,40.04247744583252
14,2667.9333333333334,2692.5,24.566666666666606,24.566666666666606,CampoB,ATTACK,TeamB,6,12.543860890453713,245.7173172570464
15,2701.233333333333,2716.5,15.266666666666879,15.266666666666879,CampoA,ATTACK,TeamA,2,17.71557530254068,300.40306256761096
16,2731.6666666666665,2764.5,32.833333333333485,32.833333333333485,CampoA,BALL_OUT,TeamB,0,39.62315084059955,263.9469643697385
