epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.91461,2.53272,192.547,0.96239,0.00182,0.2,0.00126,0.00069,1.81414,159.862,0.76581,4e-05,4e-05,4e-05
2,12.9435,1.19989,40.5256,0.83997,0.00067,0.2,0.00049,0.00032,1.70626,95.8135,0.7058,9.901e-05,9.901e-05,9.901e-05
3,19.8826,1.80526,51.3787,0.87577,0.00067,0.2,0.00044,0.00022,1.39817,108.863,0.61744,0.000156832,0.000156832,0.000156832
4,26.6399,1.61356,31.8829,0.81548,0.0029,0.2,0.00319,0.00153,1.51321,69.5462,0.67548,0.000213466,0.000213466,0.000213466
5,33.704,1.99018,47.6042,0.91968,0.0029,0.2,0.00319,0.00153,1.51321,69.5462,0.67548,0.000268912,0.000268912,0.000268912
6,40.2916,1.2492,33.3285,0.54832,0.05916,0.4,0.03886,0.02045,2.75938,83.1953,1.09089,0.00032317,0.00032317,0.00032317
7,47.3084,2.17077,45.5869,0.81244,0.05916,0.4,0.03886,0.02045,2.75938,83.1953,1.09089,0.00037624,0.00037624,0.00037624
8,54.0541,1.58056,44.1107,0.89638,0.05916,0.4,0.03886,0.02045,2.75938,83.1953,1.09089,0.000428122,0.000428122,0.000428122
9,62.6969,2.01749,18.3937,0.89335,0.80212,0.2,0.29967,0.12051,1.94502,96.4912,0.86784,0.000478816,0.000478816,0.000478816
10,69.9422,2.16315,38.26,0.80941,0.80212,0.2,0.29967,0.12051,1.94502,96.4912,0.86784,0.000528322,0.000528322,0.000528322
11,77.7909,1.89593,19.0894,0.89867,0.80212,0.2,0.29967,0.12051,1.94502,96.4912,0.86784,0.00057664,0.00057664,0.00057664
12,85.3294,1.9026,25.0179,0.92712,0.80212,0.2,0.29967,0.12051,1.94502,96.4912,0.86784,0.00062377,0.00062377,0.00062377
13,93.2714,1.82586,21.3056,0.91688,0.17722,0.4,0.10533,0.03737,2.02048,43.0764,0.84316,0.000669712,0.000669712,0.000669712
14,101.246,1.87295,28.2549,0.84684,0.17722,0.4,0.10533,0.03737,2.02048,43.0764,0.84316,0.000714466,0.000714466,0.000714466
15,109.265,1.80951,17.8498,0.85333,0.17722,0.4,0.10533,0.03737,2.02048,43.0764,0.84316,0.000758032,0.000758032,0.000758032
16,117.245,1.8554,18.5679,0.79273,0.17722,0.4,0.10533,0.03737,2.02048,43.0764,0.84316,0.00080041,0.00080041,0.00080041
17,125.094,1.75643,15.8839,0.93014,0.17722,0.4,0.10533,0.03737,2.02048,43.0764,0.84316,0.0008416,0.0008416,0.0008416
18,130.211,1.66743,18.5458,0.88489,0.02033,0.4,0.01544,0.0092,1.7176,143.906,0.70286,0.000881602,0.000881602,0.000881602
19,135.596,1.49499,11.8001,0.91945,0.02033,0.4,0.01544,0.0092,1.7176,143.906,0.70286,0.000920416,0.000920416,0.000920416
20,140.867,2.05112,11.5798,0.93572,0.02033,0.4,0.01544,0.0092,1.7176,143.906,0.70286,0.000958042,0.000958042,0.000958042
21,146.702,1.86204,13.9604,0.82032,0.02033,0.4,0.01544,0.0092,1.7176,143.906,0.70286,0.00099448,0.00099448,0.00099448
22,153.183,2.13874,16.3207,0.89105,0.02033,0.4,0.01544,0.0092,1.7176,143.906,0.70286,0.00102973,0.00102973,0.00102973
23,159.337,1.88241,25.394,0.85146,0.02033,0.4,0.01544,0.0092,1.7176,143.906,0.70286,0.00106379,0.00106379,0.00106379
24,166.234,1.74775,13.044,0.8278,0.02033,0.4,0.01544,0.0092,1.7176,143.906,0.70286,0.00109667,0.00109667,0.00109667
25,172.881,1.85158,16.1166,0.70839,0.02033,0.4,0.01544,0.0092,1.7176,143.906,0.70286,0.00112835,0.00112835,0.00112835
26,179.8,2.10246,13.2774,0.917,0.02033,0.4,0.01544,0.0092,1.7176,143.906,0.70286,0.00115885,0.00115885,0.00115885
27,187.011,1.82419,11.4242,0.83837,0.00067,0.2,0.00061,0.0003,2.08484,114.099,0.92121,0.00118816,0.00118816,0.00118816
28,194.665,1.34471,11.1084,0.77146,0.00067,0.2,0.00061,0.0003,2.08484,114.099,0.92121,0.00121628,0.00121628,0.00121628
29,201.474,1.22059,15.0004,0.59463,0.00067,0.2,0.00061,0.0003,2.08484,114.099,0.92121,0.00124322,0.00124322,0.00124322
30,208.786,1.90978,19.8142,0.82435,0.00067,0.2,0.00061,0.0003,2.08484,114.099,0.92121,0.00126896,0.00126896,0.00126896
31,216.181,1.49699,9.90402,0.85236,0.00067,0.2,0.00061,0.0003,2.08484,114.099,0.92121,0.00129352,0.00129352,0.00129352
32,222.336,1.80799,10.5168,0.92183,0.00067,0.2,0.00061,0.0003,2.08484,114.099,0.92121,0.00131689,0.00131689,0.00131689
33,227.712,1.38236,8.91535,0.86853,0.00067,0.2,0.00061,0.0003,2.08484,114.099,0.92121,0.00133907,0.00133907,0.00133907
34,233.273,1.42257,10.109,0.92781,0.00067,0.2,0.00061,0.0003,2.08484,114.099,0.92121,0.0013466,0.0013466,0.0013466
35,238.936,1.4578,12.1308,0.75239,0.00067,0.2,0.00061,0.0003,2.08484,114.099,0.92121,0.0013268,0.0013268,0.0013268
36,244.516,1.78959,12.3253,0.8711,0.00067,0.2,0.00061,0.0003,2.08484,114.099,0.92121,0.001307,0.001307,0.001307
37,250.038,1.74801,12.6706,0.8144,0.15397,0.8,0.12748,0.05661,1.92378,14.2163,0.9131,0.0012872,0.0012872,0.0012872
38,253.606,2.56889,14.6428,0.97387,0.15397,0.8,0.12748,0.05661,1.92378,14.2163,0.9131,0.0012674,0.0012674,0.0012674
39,257,2.4388,14.0317,0.72339,0.15397,0.8,0.12748,0.05661,1.92378,14.2163,0.9131,0.0012476,0.0012476,0.0012476
40,260.388,1.73656,9.63932,0.63588,0.15397,0.8,0.12748,0.05661,1.92378,14.2163,0.9131,0.0012278,0.0012278,0.0012278
41,263.923,2.55106,9.63181,1.12095,0.15397,0.8,0.12748,0.05661,1.92378,14.2163,0.9131,0.001208,0.001208,0.001208
42,267.497,2.25821,7.20413,0.96235,0.15397,0.8,0.12748,0.05661,1.92378,14.2163,0.9131,0.0011882,0.0011882,0.0011882
43,271.155,2.31938,6.4238,0.92834,0.15397,0.8,0.12748,0.05661,1.92378,14.2163,0.9131,0.0011684,0.0011684,0.0011684
44,274.884,2.58584,5.98102,0.98904,0.15397,0.8,0.12748,0.05661,1.92378,14.2163,0.9131,0.0011486,0.0011486,0.0011486
45,278.592,2.743,15.2015,0.88173,0.15397,0.8,0.12748,0.05661,1.92378,14.2163,0.9131,0.0011288,0.0011288,0.0011288
46,282.316,2.53304,11.7764,0.90083,0.15397,0.8,0.12748,0.05661,1.92378,14.2163,0.9131,0.001109,0.001109,0.001109
47,286.095,2.1624,10.018,0.897,0.15397,0.8,0.12748,0.05661,1.92378,14.2163,0.9131,0.0010892,0.0010892,0.0010892
48,289.906,1.77843,5.90995,0.8267,1,0.79077,0.80041,0.43035,1.33992,5.78711,0.84597,0.0010694,0.0010694,0.0010694
49,293.997,1.79221,4.84613,0.85211,1,0.79077,0.80041,0.43035,1.33992,5.78711,0.84597,0.0010496,0.0010496,0.0010496
50,298.054,1.67526,3.68629,0.9837,1,0.79077,0.80041,0.43035,1.33992,5.78711,0.84597,0.0010298,0.0010298,0.0010298
51,302.821,1.9607,6.16928,0.95203,1,0.79077,0.80041,0.43035,1.33992,5.78711,0.84597,0.00101,0.00101,0.00101
52,308.277,2.17233,11.4898,0.90062,1,0.79077,0.80041,0.43035,1.33992,5.78711,0.84597,0.0009902,0.0009902,0.0009902
53,313.714,1.96655,4.4426,0.97185,1,0.79077,0.80041,0.43035,1.33992,5.78711,0.84597,0.0009704,0.0009704,0.0009704
54,319.181,1.69038,4.56099,1.02881,1,0.79077,0.80041,0.43035,1.33992,5.78711,0.84597,0.0009506,0.0009506,0.0009506
55,324.577,1.53857,5.92987,0.77746,1,0.79077,0.80041,0.43035,1.33992,5.78711,0.84597,0.0009308,0.0009308,0.0009308
