epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3078,3.62331,28.1713,0.91456,7e-05,0.02283,4e-05,1e-05,3.74871,14.0326,0.8314,0.00026,0.00026,0.00026
2,39.3848,3.73284,16.4062,0.84401,1e-05,0.00457,1e-05,0,3.45351,13.4973,0.80925,0.000529308,0.000529308,0.000529308
3,57.49,3.86647,11.9668,0.82136,1e-05,0.00457,1e-05,0,3.86895,11.8954,0.82381,0.000787528,0.000787528,0.000787528
4,75.5471,3.66317,10.0619,0.79472,0.00015,0.04566,8e-05,3e-05,3.58118,12.204,0.82298,0.00103466,0.00103466,0.00103466
5,94.494,3.51507,8.89951,0.77303,0.00022,0.06849,0.00024,0.0001,3.55336,14.9313,0.86045,0.0012707,0.0012707,0.0012707
6,113.041,3.80649,8.11391,0.78562,6e-05,0.01826,3e-05,1e-05,5.13634,31.2701,1.19589,0.00149566,0.00149566,0.00149566
7,131.967,3.60987,7.4763,0.7703,0.00031,0.09589,0.00588,0.00068,4.44902,11.0009,0.92478,0.00170953,0.00170953,0.00170953
8,150.533,3.63465,6.59502,0.77232,0.76705,0.06018,0.15338,0.03692,3.66818,6.8178,0.80093,0.0017228,0.0017228,0.0017228
9,170.318,3.38941,6.08186,0.76346,0.73895,0.14155,0.17069,0.04252,3.86195,6.65921,0.82135,0.0016832,0.0016832,0.0016832
10,189.711,3.45892,5.79337,0.75825,0.66445,0.21461,0.23449,0.05512,3.48469,5.17678,0.77734,0.0016436,0.0016436,0.0016436
11,209.038,3.39398,5.14126,0.72478,0.67698,0.2871,0.26589,0.06349,3.50754,4.54736,0.78348,0.001604,0.001604,0.001604
12,228.907,3.34815,4.69055,0.75693,0.70025,0.2968,0.36688,0.09442,3.14731,4.43328,0.75937,0.0015644,0.0015644,0.0015644
13,248.917,3.21051,4.6947,0.74624,0.72722,0.34087,0.38178,0.12722,2.8716,4.43497,0.75888,0.0015248,0.0015248,0.0015248
14,266.95,3.15661,4.33135,0.73645,0.63617,0.31963,0.30878,0.08074,3.43241,4.0393,0.76652,0.0014852,0.0014852,0.0014852
15,286.182,3.27884,4.11146,0.74254,0.71289,0.40183,0.46203,0.14053,3.10021,3.616,0.75833,0.0014456,0.0014456,0.0014456
16,307.88,3.24114,3.83424,0.72979,0.61561,0.40183,0.39241,0.10488,3.13107,3.32383,0.74546,0.001406,0.001406,0.001406
17,320.907,3.09386,3.34043,0.7092,0.59934,0.41096,0.42703,0.12814,3.01355,3.08388,0.73786,0.0013664,0.0013664,0.0013664
18,338.294,3.04009,3.42736,0.72895,0.64339,0.4943,0.47486,0.15256,2.93838,2.80293,0.7409,0.0013268,0.0013268,0.0013268
19,357.624,3.1177,3.18687,0.74145,0.67382,0.50228,0.52368,0.1755,2.92721,2.53645,0.73233,0.0012872,0.0012872,0.0012872
20,374.889,2.99112,2.98287,0.70995,0.72946,0.46119,0.54453,0.16936,2.84073,2.70536,0.73508,0.0012476,0.0012476,0.0012476
21,392.33,3.15944,3.05244,0.69328,0.6902,0.59361,0.60321,0.21193,2.72643,2.3682,0.73273,0.001208,0.001208,0.001208
22,409.814,3.08044,2.95057,0.71309,0.7111,0.5395,0.55329,0.1923,2.8713,2.41555,0.73674,0.0011684,0.0011684,0.0011684
23,431.651,3.08729,2.94788,0.73019,0.70009,0.51142,0.53655,0.17091,2.87374,2.41005,0.74599,0.0011288,0.0011288,0.0011288
24,450.392,3.0674,2.75631,0.72079,0.77013,0.51142,0.56833,0.18889,2.66938,2.29192,0.74029,0.0010892,0.0010892,0.0010892
25,468.776,3.08743,2.69439,0.74167,0.76014,0.51142,0.56907,0.19423,2.72552,2.28492,0.7349,0.0010496,0.0010496,0.0010496
26,487.407,3.01411,2.49627,0.72007,0.82393,0.55557,0.61335,0.22408,2.62913,2.07955,0.73469,0.00101,0.00101,0.00101
27,505.861,2.93013,2.38288,0.72644,0.77238,0.5578,0.64344,0.23436,2.63275,1.93023,0.73352,0.0009704,0.0009704,0.0009704
28,524.195,2.86171,2.37589,0.72085,0.79965,0.55251,0.63084,0.23441,2.61192,2.04358,0.73324,0.0009308,0.0009308,0.0009308
29,543.392,2.9557,2.23337,0.71384,0.7508,0.53425,0.58875,0.22642,2.63644,2.02323,0.73398,0.0008912,0.0008912,0.0008912
30,561.62,2.92836,2.21438,0.71372,0.84045,0.56164,0.64523,0.23918,2.6056,1.99814,0.7315,0.0008516,0.0008516,0.0008516
31,581.119,2.7446,2.11378,0.69639,0.81791,0.57428,0.65619,0.25374,2.60375,1.85532,0.72271,0.000812,0.000812,0.000812
32,600.675,3.01987,2.1648,0.69824,0.81369,0.59827,0.6478,0.23753,2.71463,1.79727,0.72565,0.0007724,0.0007724,0.0007724
33,616.127,2.78157,2.03993,0.71572,0.80258,0.59401,0.68011,0.25862,2.60978,1.67897,0.72063,0.0007328,0.0007328,0.0007328
34,634.744,2.98677,2.15242,0.70422,0.8667,0.56409,0.66628,0.2334,2.69003,1.70259,0.73208,0.0006932,0.0006932,0.0006932
35,654.05,2.85217,1.95357,0.72492,0.81228,0.59276,0.67583,0.26959,2.56003,1.6236,0.72608,0.0006536,0.0006536,0.0006536
36,672.558,2.73718,1.84272,0.71534,0.75494,0.59361,0.67479,0.26254,2.58733,1.61806,0.72623,0.000614,0.000614,0.000614
37,690.928,2.8104,1.84905,0.6804,0.7696,0.63014,0.69691,0.2649,2.61795,1.6272,0.72282,0.0005744,0.0005744,0.0005744
38,710.186,2.83306,1.82419,0.68539,0.81032,0.60274,0.6919,0.26408,2.63318,1.57818,0.72412,0.0005348,0.0005348,0.0005348
39,728.469,2.7226,1.81001,0.71633,0.84784,0.62557,0.71066,0.27077,2.60981,1.56745,0.72598,0.0004952,0.0004952,0.0004952
40,746.059,2.79914,1.79245,0.71832,0.87165,0.6347,0.72635,0.29271,2.52252,1.51031,0.72173,0.0004556,0.0004556,0.0004556
41,789.155,2.63392,2.19332,0.72318,0.87355,0.59934,0.71379,0.28559,2.50824,1.51582,0.72194,0.000416,0.000416,0.000416
42,805.464,2.59574,2.07568,0.69689,0.76435,0.61187,0.68564,0.25652,2.58808,1.53504,0.7203,0.0003764,0.0003764,0.0003764
43,823.48,2.60173,2.13222,0.74416,0.82392,0.58447,0.68354,0.25022,2.60506,1.58442,0.71995,0.0003368,0.0003368,0.0003368
